iter	MAPE
0	0.1417377312
1	0.1417377312
2	0.1417377312
3	0.1417377312
4	0.1417377312
5	0.1417377312
6	0.1417377312
7	0.1417377312
8	0.1417377312
9	0.1417377312
10	0.1417377312
11	0.1417377312
12	0.1417377312
13	0.1417377312
14	0.1417377312
15	0.1417377312
16	0.1417377312
17	0.1417377312
18	0.1417377312
19	0.1417377312
20	0.1417377312
21	0.1417377312
22	0.1417377312
23	0.1417377312
24	0.1417377312
25	0.1417377312
26	0.1417377312
27	0.1417377312
28	0.1417377312
29	0.1417377312
30	0.1417377312
31	0.1417377312
32	0.1417377312
33	0.1417377312
34	0.1417377312
35	0.1417377312
36	0.1417377312
37	0.1417377312
38	0.1417377312
39	0.1417377312
40	0.1417377312
41	0.1417377312
42	0.1417377312
43	0.1417377312
44	0.1417377312
45	0.1417377312
46	0.1417377312
47	0.1417377312
48	0.1417377312
49	0.1417377312
50	0.1417377312
51	0.1417377312
52	0.1417377312
53	0.1417377312
54	0.1417377312
55	0.1417377312
56	0.1417377312
57	0.1417377312
58	0.1417377312
59	0.1417377312
60	0.1417377312
61	0.1417377312
62	0.1417377312
63	0.1417377312
64	0.1417377312
65	0.1417377312
66	0.1417377312
67	0.1417377312
68	0.1417377312
69	0.1417377312
70	0.1417377312
71	0.1417377312
72	0.1417377312
73	0.1417377312
74	0.1417377312
75	0.1417377312
76	0.1417377312
77	0.1417377312
78	0.1417377312
79	0.1417377312
80	0.1417377312
81	0.1417377312
82	0.1417377312
83	0.1417377312
84	0.1417377312
85	0.1417377312
86	0.1417377312
87	0.1417377312
88	0.1417377312
89	0.1417377312
90	0.1417377312
91	0.1417377312
92	0.1417377312
93	0.1417377312
94	0.1417377312
95	0.1417377312
96	0.1417377312
97	0.1417377312
98	0.1417377312
99	0.1417377312
100	0.1417377312
101	0.1417377312
102	0.1417377312
103	0.1417377312
104	0.1417377312
105	0.1417377312
106	0.1417377312
107	0.1417377312
108	0.1417377312
109	0.1417377312
110	0.1417377312
111	0.1417377312
112	0.1417377312
113	0.1417377312
114	0.1417377312
115	0.1417377312
116	0.1417377312
117	0.1417377312
118	0.1417377312
119	0.1417377312
120	0.1417377312
121	0.1417377312
122	0.1417377312
123	0.1417377312
124	0.1417377312
125	0.1417377312
126	0.1417377312
127	0.1417377312
128	0.1417377312
129	0.1417377312
130	0.1417377312
131	0.1417377312
132	0.1417377312
133	0.1417377312
134	0.1417377312
135	0.1417377312
136	0.1417377312
137	0.1417377312
138	0.1417377312
139	0.1417377312
140	0.1417377312
141	0.1417377312
142	0.1417377312
143	0.1417377312
144	0.1417377312
145	0.1417377312
146	0.1417377312
147	0.1417377312
148	0.1417377312
149	0.1417377312
150	0.1417377312
151	0.1417377312
152	0.1417377312
153	0.1417377312
154	0.1417377312
155	0.1417377312
156	0.1417377312
157	0.1417377312
158	0.1417377312
159	0.1417377312
160	0.1417377312
161	0.1417377312
162	0.1417377312
163	0.1417377312
164	0.1417377312
165	0.1417377312
166	0.1417377312
167	0.1417377312
168	0.1417377312
169	0.1417377312
170	0.1417377312
171	0.1417377312
172	0.1417377312
173	0.1417377312
174	0.1417377312
175	0.1417377312
176	0.1417377312
177	0.1417377312
178	0.1417377312
179	0.1417377312
180	0.1417377312
181	0.1417377312
182	0.1417377312
183	0.1417377312
184	0.1417377312
185	0.1417377312
186	0.1417377312
187	0.1417377312
188	0.1417377312
189	0.1417377312
190	0.1417377312
191	0.1417377312
192	0.1417377312
193	0.1417377312
194	0.1417377312
195	0.1417377312
196	0.1417377312
197	0.1417377312
198	0.1417377312
199	0.1417377312
200	0.1417377312
201	0.1417377312
202	0.1417377312
203	0.1417377312
204	0.1417377312
205	0.1417377312
206	0.1417377312
207	0.1417377312
208	0.1417377312
209	0.1417377312
210	0.1417377312
211	0.1417377312
212	0.1417377312
213	0.1417377312
214	0.1417377312
215	0.1417377312
216	0.1417377312
217	0.1417377312
218	0.1417377312
219	0.1417377312
220	0.1417377312
221	0.1417377312
222	0.1417377312
223	0.1417377312
224	0.1417377312
225	0.1417377312
226	0.1417377312
227	0.1417377312
228	0.1417377312
229	0.1417377312
230	0.1417377312
231	0.1417377312
232	0.1417377312
233	0.1417377312
234	0.1417377312
235	0.1417377312
236	0.1417377312
237	0.1417377312
238	0.1417377312
239	0.1417377312
240	0.1417377312
241	0.1417377312
242	0.1417377312
243	0.1417377312
244	0.1417377312
245	0.1417377312
246	0.1417377312
247	0.1417377312
248	0.1417377312
249	0.1417377312
250	0.1417377312
251	0.1417377312
252	0.1417377312
253	0.1417377312
254	0.1417377312
255	0.1417377312
256	0.1417377312
257	0.1417377312
258	0.1417377312
259	0.1417377312
260	0.1417377312
261	0.1417377312
262	0.1417377312
263	0.1417377312
264	0.1417377312
265	0.1417377312
266	0.1417377312
267	0.1417377312
268	0.1417377312
269	0.1417377312
270	0.1417377312
271	0.1417377312
272	0.1417377312
273	0.1417377312
274	0.1417377312
275	0.1417377312
276	0.1417377312
277	0.1417377312
278	0.1417377312
279	0.1417377312
280	0.1417377312
281	0.1417377312
282	0.1417377312
283	0.1417377312
284	0.1417377312
285	0.1417377312
286	0.1417377312
287	0.1417377312
288	0.1417377312
289	0.1417377312
290	0.1417377312
291	0.1417377312
292	0.1417377312
293	0.1417377312
294	0.1417377312
295	0.1417377312
296	0.1417377312
297	0.1417377312
298	0.1417377312
299	0.1417377312
300	0.1417377312
301	0.1417377312
302	0.1417377312
303	0.1417377312
304	0.1417377312
305	0.1417377312
306	0.1417377312
307	0.1417377312
308	0.1417377312
309	0.1417377312
310	0.1417377312
311	0.1417377312
312	0.1417377312
313	0.1417377312
314	0.1417377312
315	0.1417377312
316	0.1417377312
317	0.1417377312
318	0.1417377312
319	0.1417377312
320	0.1417377312
321	0.1417377312
322	0.1417377312
323	0.1417377312
324	0.1417377312
325	0.1417377312
326	0.1417377312
327	0.1417377312
328	0.1417377312
329	0.1417377312
330	0.1417377312
331	0.1417377312
332	0.1417377312
333	0.1417377312
334	0.1417377312
335	0.1417377312
336	0.1417377312
337	0.1417377312
338	0.1417377312
339	0.1417377312
340	0.1417377312
341	0.1417377312
342	0.1417377312
343	0.1417377312
344	0.1417377312
345	0.1417377312
346	0.1417377312
347	0.1417377312
348	0.1417377312
349	0.1417377312
350	0.1417377312
351	0.1417377312
352	0.1417377312
353	0.1417377312
354	0.1417377312
355	0.1417377312
356	0.1417377312
357	0.1417377312
358	0.1417377312
359	0.1417377312
360	0.1417377312
361	0.1417377312
362	0.1417377312
363	0.1417377312
364	0.1417377312
365	0.1417377312
366	0.1417377312
367	0.1417377312
368	0.1417377312
369	0.1417377312
370	0.1417377312
371	0.1417377312
372	0.1417377312
373	0.1417377312
374	0.1417377312
375	0.1417377312
376	0.1417377312
377	0.1417377312
378	0.1417377312
379	0.1417377312
380	0.1417377312
381	0.1417377312
382	0.1417377312
383	0.1417377312
384	0.1417377312
385	0.1417377312
386	0.1417377312
387	0.1417377312
388	0.1417377312
389	0.1417377312
390	0.1417377312
391	0.1417377312
392	0.1417377312
393	0.1417377312
394	0.1417377312
395	0.1417377312
396	0.1417377312
397	0.1417377312
398	0.1417377312
399	0.1417377312
400	0.1417377312
401	0.1417377312
402	0.1417377312
403	0.1417377312
404	0.1417377312
405	0.1417377312
406	0.1417377312
407	0.1417377312
408	0.1417377312
409	0.1417377312
410	0.1417377312
411	0.1417377312
412	0.1417377312
413	0.1417377312
414	0.1417377312
415	0.1417377312
416	0.1417377312
417	0.1417377312
418	0.1417377312
419	0.1417377312
420	0.1417377312
421	0.1417377312
422	0.1417377312
423	0.1417377312
424	0.1417377312
425	0.1417377312
426	0.1417377312
427	0.1417377312
428	0.1417377312
429	0.1417377312
430	0.1417377312
431	0.1417377312
432	0.1417377312
433	0.1417377312
434	0.1417377312
435	0.1417377312
436	0.1417377312
437	0.1417377312
438	0.1417377312
439	0.1417377312
440	0.1417377312
441	0.1417377312
442	0.1417377312
443	0.1417377312
444	0.1417377312
445	0.1417377312
446	0.1417377312
447	0.1417377312
448	0.1417377312
449	0.1417377312
450	0.1417377312
451	0.1417377312
452	0.1417377312
453	0.1417377312
454	0.1417377312
455	0.1417377312
456	0.1417377312
457	0.1417377312
458	0.1417377312
459	0.1417377312
460	0.1417377312
461	0.1417377312
462	0.1417377312
463	0.1417377312
464	0.1417377312
465	0.1417377312
466	0.1417377312
467	0.1417377312
468	0.1417377312
469	0.1417377312
470	0.1417377312
471	0.1417377312
472	0.1417377312
473	0.1417377312
474	0.1417377312
475	0.1417377312
476	0.1417377312
477	0.1417377312
478	0.1417377312
479	0.1417377312
480	0.1417377312
481	0.1417377312
482	0.1417377312
483	0.1417377312
484	0.1417377312
485	0.1417377312
486	0.1417377312
487	0.1417377312
488	0.1417377312
489	0.1417377312
490	0.1417377312
491	0.1417377312
492	0.1417377312
493	0.1417377312
494	0.1417377312
495	0.1417377312
496	0.1417377312
497	0.1417377312
498	0.1417377312
499	0.1417377312
500	0.1417377312
501	0.1417377312
502	0.1417377312
503	0.1417377312
504	0.1417377312
505	0.1417377312
506	0.1417377312
507	0.1417377312
508	0.1417377312
509	0.1417377312
510	0.1417377312
511	0.1417377312
512	0.1417377312
513	0.1417377312
514	0.1417377312
515	0.1417377312
516	0.1417377312
517	0.1417377312
518	0.1417377312
519	0.1417377312
520	0.1417377312
521	0.1417377312
522	0.1417377312
523	0.1417377312
524	0.1417377312
525	0.1417377312
526	0.1417377312
527	0.1417377312
528	0.1417377312
529	0.1417377312
530	0.1417377312
531	0.1417377312
532	0.1417377312
533	0.1417377312
534	0.1417377312
535	0.1417377312
536	0.1417377312
537	0.1417377312
538	0.1417377312
539	0.1417377312
540	0.1417377312
541	0.1417377312
542	0.1417377312
543	0.1417377312
544	0.1417377312
545	0.1417377312
546	0.1417377312
547	0.1417377312
548	0.1417377312
549	0.1417377312
550	0.1417377312
551	0.1417377312
552	0.1417377312
553	0.1417377312
554	0.1417377312
555	0.1417377312
556	0.1417377312
557	0.1417377312
558	0.1417377312
559	0.1417377312
560	0.1417377312
561	0.1417377312
562	0.1417377312
563	0.1417377312
564	0.1417377312
565	0.1417377312
566	0.1417377312
567	0.1417377312
568	0.1417377312
569	0.1417377312
570	0.1417377312
571	0.1417377312
572	0.1417377312
573	0.1417377312
574	0.1417377312
575	0.1417377312
576	0.1417377312
577	0.1417377312
578	0.1417377312
579	0.1417377312
580	0.1417377312
581	0.1417377312
582	0.1417377312
583	0.1417377312
584	0.1417377312
585	0.1417377312
586	0.1417377312
587	0.1417377312
588	0.1417377312
589	0.1417377312
590	0.1417377312
591	0.1417377312
592	0.1417377312
593	0.1417377312
594	0.1417377312
595	0.1417377312
596	0.1417377312
597	0.1417377312
598	0.1417377312
599	0.1417377312
600	0.1417377312
601	0.1417377312
602	0.1417377312
603	0.1417377312
604	0.1417377312
605	0.1417377312
606	0.1417377312
607	0.1417377312
608	0.1417377312
609	0.1417377312
610	0.1417377312
611	0.1417377312
612	0.1417377312
613	0.1417377312
614	0.1417377312
615	0.1417377312
616	0.1417377312
617	0.1417377312
618	0.1417377312
619	0.1417377312
620	0.1417377312
621	0.1417377312
622	0.1417377312
623	0.1417377312
624	0.1417377312
625	0.1417377312
626	0.1417377312
627	0.1417377312
628	0.1417377312
629	0.1417377312
630	0.1417377312
631	0.1417377312
632	0.1417377312
633	0.1417377312
634	0.1417377312
635	0.1417377312
636	0.1417377312
637	0.1417377312
638	0.1417377312
639	0.1417377312
640	0.1417377312
641	0.1417377312
642	0.1417377312
643	0.1417377312
644	0.1417377312
645	0.1417377312
